Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt2488496,3,2023-07-23,"Star Wars: Episode VII - Das Erwachen der Macht","Star Wars: Episode VII - The Force Awakens",https://www.imdb.com/title/tt2488496,Film,7.7,138,2015,"Science-Fiction, Action, Abenteuer",1020671,"2015-12-17","J.J. Abrams"
tt0121765,7,2023-07-23,"Star Wars: Episode II - Angriff der Klonkrieger","Star Wars: Episode II - Attack of the Clones",https://www.imdb.com/title/tt0121765,Film,6.6,142,2002,"Fantasy, Science-Fiction, Abenteuer, Action",814716,"2002-05-16","George Lucas"
tt0086190,10,2023-07-23,"Star Wars: Episode VI - Die Rückkehr der Jedi-Ritter","Star Wars: Episode VI - Return of the Jedi",https://www.imdb.com/title/tt0086190,Film,8.3,131,1983,"Science-Fiction, Abenteuer, Action, Fantasy",1201282,"1983-12-09","Richard Marquand"
tt0080684,10,2023-07-23,"Star Wars: Episode V - Das Imperium schlägt zurück","Star Wars: Episode V - The Empire Strikes Back",https://www.imdb.com/title/tt0080684,Film,8.7,124,1980,"Fantasy, Science-Fiction, Abenteuer, Action",1494247,"1980-12-11","Irvin Kershner"
tt0076759,10,2023-07-23,"Krieg der Sterne","Star Wars",https://www.imdb.com/title/tt0076759,Film,8.6,121,1977,"Science-Fiction, Abenteuer, Fantasy, Action",1559529,"1978-02-09","George Lucas"
tt0120915,7,2023-07-23,"Star Wars: Episode I - Die dunkle Bedrohung","Star Wars: Episode I - The Phantom Menace",https://www.imdb.com/title/tt0120915,Film,6.5,136,1999,"Fantasy, Science-Fiction, Abenteuer, Action",920020,"1999-08-19","George Lucas"
tt12708542,8,2023-07-23,"Star Wars: The Bad Batch","Star Wars: The Bad Batch",https://www.imdb.com/title/tt12708542,Fernsehserie,7.8,30,2021,"Animation, Science-Fiction, Action, Abenteuer, Drama, Fantasy",65496,"2021-05-04",
tt2527338,3,2023-07-23,"Star Wars - Episode IX: Der Aufstieg Skywalkers","Star Wars: Episode IX - The Rise of Skywalker",https://www.imdb.com/title/tt2527338,Film,6.3,141,2019,"Science-Fiction, Action, Abenteuer, Fantasy",537456,"2019-12-18","J.J. Abrams"
tt0458290,10,2023-07-23,"Star Wars: The Clone Wars","Star Wars: The Clone Wars",https://www.imdb.com/title/tt0458290,Fernsehserie,8.5,23,2008,"Animation, Action, Abenteuer, Drama, Fantasy, Science-Fiction",141573,"2008-11-23",
tt2930604,8,2023-07-23,"Star Wars Rebels","Star Wars Rebels",https://www.imdb.com/title/tt2930604,Fernsehserie,8.1,22,2014,"Animation, Action, Abenteuer, Science-Fiction, Fantasy, Familienfilm",67682,"2014-10-03",
tt7366338,9,2023-07-23,"Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338,Miniserie,9.3,60,2019,"Drama, Geschichte, Thriller",1018226,"2019-05-14",
tt3032476,10,2023-07-23,"Better Call Saul","Better Call Saul",https://www.imdb.com/title/tt3032476,Fernsehserie,9.0,45,2015,"Krimi, Drama",815762,"2015-02-11",
tt15398776,8,2023-07-23,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776,Film,8.2,180,2023,"Biografie, Drama, Geschichte",1006880,"2023-07-20","Christopher Nolan"
